front,back,hint,publishedAt
"erscheint","appears","Das neue Buch erscheint nächste Woche.","2024-09-27T19:48:53.793Z"
"Vordermann","In front","Und jetzt bringen wir das Rad mal wieder so\nrichtig auf Vordermann.","2024-07-09T21:42:41.851Z"
"durchmachten","gone through","noch einen Entzug durchmachten.","2024-09-06T23:08:02.535Z"
"deshalb lassen wir es hier erst mal weg","so we will leave it out here for now","","2024-07-20T14:41:45.009Z"
"erstaunt","amazed","Die Kinder waren erstaunt über die Magie-Show.","2024-09-09T22:21:14.369Z"
"zorn","anger","Sie konnte ihren Zorn nicht länger zurückhalten.","2024-08-14T19:54:04.837Z"
"überwältigend","overwhelming","seht ihr überwältigend aus.","2024-08-15T16:05:11.284Z"
"namhaften","well-known","Der Film wurde von namhaften Regisseuren produziert.","2024-07-24T20:27:41.730Z"
"die Feldmaus","the field mouse","","2024-08-26T22:57:55.645Z"
"Teigwaren","Pasta (Food made from dough like pasta and noodles)","Einige Teigwaren werden sofort mit der Füllung gebacken, die anderen beschmiert man mit Marmelade, wenn sie schon gebacken sind.","2024-08-24T21:34:58.336Z"
"eintauchen","immerse","Die Kinder tauchten ihre Füße ins Wasser ein.","2024-08-09T21:28:13.394Z"
"begrenzten","limited","Ausländerbehörde Beamter: Ja, Sie können das nachreichen, aber Sie müssen sich beeilen, da Sie nur einen begrenzten Zeitraum haben, um dies zu tun.","2024-08-15T16:01:36.495Z"
"die Gans","the goose","","2024-08-26T22:57:46.359Z"
"das Zebra (s)","the zebra","Zebras haben Streifen.","2024-08-26T22:57:48.069Z"
"überbacken","au gratin","Wenn wir beispielsweise Gemüse nehmen, so kann es gekocht, gebraten, gedünstet oder überbacken werden; man kann auch Püree, Bouletten und andere leckere Gerichte zubereiten.","2024-08-24T21:33:34.728Z"
"Die folter","The torture","","2024-08-15T20:19:03.100Z"
"das Fach","the subject/compartment","In der Schule habe ich Mathe als mein Lieblingsfach gewählt.","2024-09-29T13:57:47.039Z"
"Niedergang","Decline","Und jetzt kommt der Niedergang von Bismarck","2024-08-14T20:29:18.789Z"
"Urteile","Judgements","in Betracht ziehen und dürfen\nkeine vorschnellen Urteile fällen.","2024-09-06T23:12:54.420Z"
"stammt","originates","Er stammt aus Deutschland.","2024-07-24T20:29:17.392Z"
"irgendwohin","anywhere","","2024-06-17T20:48:26.060Z"
"anweisung","instruction/directive","Bitte befolge die Anweisung des Lehrers genau.","2024-08-11T19:15:30.168Z"
"Das Datum aber hab ich jetzt nicht im Kopf.","But now I don't have the date in my head.","","2024-07-05T15:15:23.889Z"
"schämen","be ashamed","für das man sich nicht schämen muss.","2024-07-18T22:58:58.445Z"
"vonnöten","Needed","Es ist vonnöten, dass wir die Deadline einhalten.","2024-08-09T21:32:35.784Z"
"das Chinin","the Quinine","","2024-09-17T10:45:29.494Z"
"Richtlinie","Guideline/Directive","Die neue Richtlinie zur Datensicherheit tritt nächste Woche in Kraft.","2024-08-12T18:54:17.719Z"
"schmieren","lubricate","Ich schmiere Butter auf mein Brot.","2024-07-20T16:32:21.517Z"
"Irgendjemand","Anyone","Irgendjemand hat mir gestern eine Nachricht geschickt, aber ich weiß nicht, wer es war.","2024-07-03T16:47:17.849Z"
"bekämpfen","fight","aber du kannst es annehmen\nund seine Ursache bekämpfen.","2024-07-18T22:59:22.320Z"
"qualmen","to smoke","Er sitzt auf der Terrasse und qualmt eine Zigarette.","2024-08-05T22:19:42.863Z"
"Wahrnehmung","Perception","Diese Wahrnehmung kann dazu führen,","2024-07-18T22:56:26.234Z"
"Abfolge","Sequence","bei dem eine Abfolge von Gedanken\noder Aktionen zusammengesetzt wird,","2024-07-20T14:46:21.281Z"
"verweigen","deny","Er verweigert die Teilnahme an dem Wettbewerb.","2024-09-28T21:55:28.907Z"
"beifügen","enclose","Ich möchte diesem Schreiben einige Unterlagen beifügen.","2024-08-09T21:29:46.858Z"
"zerknüllt","crumpled","Die Kinder haben das Papier zerknüllt.","2024-08-10T11:09:11.881Z"
"gesamtlautstärke","total volume","","2024-08-09T21:06:49.899Z"
"verlierst","lose (you)","","2024-08-09T21:18:08.027Z"
"vorräte","inventories","","2024-08-09T21:36:28.764Z"
"der Pilze","the fungi/mushroom","das aus Bakterien, Viren, Pilzen\nund anderen Organismen besteht.","2024-06-21T19:20:25.459Z"
"gelangst","get there","","2024-08-09T21:36:21.313Z"
"bisherigen","Previous","Faeser verwies darauf, dass bereits die bisherigen Kontrollen an den Grenzen zu Polen, Tschechien, Österreich und der Schweiz seit Oktober vergangenen Jahres mehr als 30.","2024-09-14T13:40:34.273Z"
"Umwandlung","Conversion","Da beginnt die Gärung und die Umwandlung in Milchsäure.","2024-09-14T10:29:43.038Z"
"angenehm","enjoyable","Emotional intelligente Menschen sind meist ausgeglichen und wirken angenehm auf andere.","2024-09-18T16:19:24.668Z"
"entpuppen","reveal oneself, turn out different","Die Pläne des Unternehmens entpuppten sich als unrealistisch.","2024-09-10T21:19:41.565Z"
"anfälliger","vulnerable","Die ältere Bevölkerung ist anfälliger für Krankheiten.","2024-06-21T19:17:43.916Z"
"der Hamster","the hamster","","2024-08-26T22:58:00.681Z"
"mitzugestalten","to help shape","","2024-07-23T14:54:46.274Z"
"Ich freue mich schon darauf","I am already looking forward to it","","2024-06-17T21:22:20.834Z"
"die Schulden","the debts","Ich habe Schulden bei der Bank.","2024-07-22T19:52:25.486Z"
"der Transfer","the transfer","Früher hat ein Transfer etwa 200 bis 300 Dollar gekostet.","2024-09-17T13:38:50.689Z"
"der Keim","the germ","Der Keim für die Idee zu diesem Projekt entstand während einer Reise.","2024-06-22T11:15:46.057Z"
"unaufhaltsam","unstoppable","Die unaufhaltsame Ausbreitung des Virus hat zu vielen Todesfällen geführt.","2024-07-23T16:00:46.618Z"
"ab und zu","from time to time / occasionally","Ab und zu regnet es hier.","2023-07-27T14:05:10.718Z"
"der Putsch","the coup","Der Putsch im Jahr 1933 führte zur Machtübernahme der Nationalsozialisten.","2024-09-18T10:22:33.223Z"
"wissenspende","knowledge donation","","2024-09-17T23:11:46.287Z"
"Nebenmacht","Secondary power","","2024-09-18T13:56:33.330Z"
"der Kontostand","the account balance","Ich möchte meinen Kontostand überprüfen.","2024-07-22T13:16:57.283Z"
"dünne","thin","Die dünne Schicht Schnee schmilzt schnell.","2024-08-09T21:33:38.142Z"
"es geht um","it is about","Es geht um unsere Zukunft.","2024-07-22T13:16:21.400Z"
"Spritzt","Splashes","Spritzt man sich 20 Tage lang Heroin,\ndann wird man am 21.","2024-09-05T18:29:15.940Z"
"geeignet","suitable","","2023-07-23T12:38:37.847Z"
"trugbild","portrait","","2024-08-09T21:25:52.846Z"
"der Schwan / Schwäne","the swan","","2024-08-26T22:57:52.348Z"
"die Fliege (n)","the fly","","2024-08-26T22:57:51.911Z"
"forsten","forestry","","2024-08-09T21:32:56.690Z"
"der Papagei (en)","the parrot","Tom spricht mit seinem Papagei.","2024-08-26T22:57:48.737Z"
"flackern","flicker","Bevor die Bilder laufen lernten, lernten sie erst einmal flackern.","2024-09-21T13:36:12.065Z"
"sünde","sin","Die Sünde der Lüge kann schwerwiegende Folgen haben.","2024-09-26T10:53:49.659Z"
"laterne","lantern","-Zauberlaterne und Lebensrad","2024-09-21T13:35:07.687Z"
"überflüssig","superfluous","Die vielen Dekorationen auf dem Tisch sind überflüssig.","2024-10-28T19:50:30.666Z"
"zeigen","demonstrate","Aber Studien zeigen: Viele Schüler haben Schwierigkeiten.","2023-12-24T16:58:41.284Z"
"Lebensmittelversorgung","Food supply","Die Pandemie hat deutlich gemacht, wie wichtig die regionale Lebensmittelversorgung ist.","2024-09-05T18:03:11.896Z"
"die Wartung","the Maintenance","Die regelmäßige Wartung des Autos ist wichtig, um Probleme zu vermeiden.","2024-07-23T14:58:06.783Z"
"die Festplatte","the hard disk","-n","2024-09-17T13:38:07.442Z"
"die Antenne","antenna","","2024-09-17T13:39:29.963Z"
"sogar","even","Es ist nicht leicht, es ist sogar verzweifelt schwer.","2023-08-06T14:04:33.846Z"
"abholen","pick up","Ich werde dich um 16 Uhr von der Schule abholen.","2024-09-17T17:44:45.089Z"
"dafür","for this","Durch seine Struktur\nist es perfekt dafür geeignet,","2024-07-15T23:56:13.054Z"
"Getreidegesetze","Cereal laws","","2024-09-17T19:52:27.089Z"
"einzahlen","to deposit","Ich möchte 100 Euro auf mein Konto einzahlen.","2024-07-22T13:16:45.042Z"
"die Vorkasse","the prepayment","Ich habe die Vorkasse für das Buch bezahlt.","2024-07-22T19:52:40.700Z"
"die Mandel","the Almond","Ich esse gerne Mandeln.","2024-07-25T20:22:16.091Z"
"erschließen","open up","","2023-11-01T12:29:44.462Z"
"Aufenthaltserlaubnis","residence permit","Sie haben jetzt hier\neine Aufenthaltserlaubnis.","2024-07-09T22:47:08.231Z"
"benutzoberfläche","user interface","","2024-08-09T21:06:17.087Z"
"klarzumachen","to make clear","dir wieder klarzumachen,\nwas du im Leben wirklich willst.","2024-06-22T12:48:20.324Z"
"Prediger","Preacher","Während dieser unruhigen Zeiten war es nicht ungewöhnlich, dass Prediger ihre Identität verbergen mussten, um eine Verfolgung samt fataler Strafen, bis hin zum Tod, zu vermeiden.","2024-09-29T16:55:10.877Z"
"die Beratung","the advice/consulting","Ich habe einen Termin für eine Beratung beim Arzt gemacht.","2023-10-24T22:53:00.900Z"
"das Heft/Hefte","the notebook","","2023-12-05T00:01:16.432Z"
"sichern","to back up","Tom sicherte seine Daten.","2024-09-17T13:34:13.171Z"
"der Welpe","the puppy","Ich habe gestern einen süßen Welpen gesehen.","2024-07-25T20:26:08.014Z"
"die Grille (n)","the cricket","","2024-08-26T22:57:59.691Z"
"der Löffel","the spoon","","2023-07-27T16:31:46.758Z"
"die Gewissensfrage/Gewissenfragen","the questions of conscience","","2023-10-17T03:54:31.383Z"
"prustete","snorted","","2024-10-08T23:13:09.707Z"
"heraus","out","Ich gehe heraus","2024-07-11T20:21:58.712Z"
"verabreicht","administered","wochen- oder sogar\nmonatelang Diamorphin verabreicht.","2024-09-05T18:30:23.558Z"
"Der Waldführer für den Klogang","The forest guide for going to the loo","","2024-09-30T22:11:21.527Z"
"Dünger","fertilizer","Im Frühling sollte man den Garten mit Dünger versorgen.","2024-09-18T21:31:13.890Z"
"umzuwerfen","to overturn","","2024-08-11T19:16:48.938Z"
"das dosenfutter","the canned food","","2024-09-05T21:11:11.916Z"
"das Krokodil (e)","the crocodile","","2024-08-26T22:57:50.329Z"
"die Schnittstelle","the interface, the interfaces","Die Schnittstelle zwischen Mensch und Maschine ist entscheidend für die Benutzerfreundlichkeit.","2024-09-14T10:44:19.212Z"
"der Marienkäfer","the ladybug","","2024-08-26T22:57:54.713Z"
"das Pixel","pixel","","2024-09-17T13:38:32.019Z"
"entsetzt","appalled","Die Kinder waren entsetzt über den Anblick des zerstörten Spielplatzes.","2024-09-09T22:21:17.133Z"
"schlank","slim","Eine mit viel Butter und Zucker angerührte Schokoladentorte macht auch dann nicht schlank, wenn sie aus Bio-Produkten hergestellt wird.","2024-09-17T13:23:30.111Z"
"zunächst","initially","Zunächst müssen wir die Hausaufgaben machen.","2024-09-14T13:40:03.690Z"
"hochscrollen","scroll up","","2024-09-17T13:37:44.285Z"
"aktualisieren","to update","","2024-09-17T13:38:43.978Z"
"der Spam","Spam","","2024-09-17T13:39:11.221Z"
"bewegung","movement","Die Bewegung der Planeten ist faszinierend.","2024-09-09T22:06:48.882Z"
"minimieren","to minimize","","2024-09-17T13:38:48.415Z"
"Das nadelöhr","The eye of the needle","","2024-09-18T11:51:06.812Z"
"tippen","type","Wie schnell kannst du Tippen?","2024-09-17T13:39:00.769Z"
"drängen","push","Auch die deutschen Kaufleute konnten Bismarck dazu drängen, nicht mehr gegen Kolonien zu sein.","2024-08-14T20:29:49.125Z"
"das Hündchen","the puppy","","2024-07-25T20:25:48.333Z"
"Gelegentliche","Occasional","","2024-07-23T14:53:09.882Z"
"aufgeregt","excited","Ich bin aufgeregt, weil ich morgen meinen Geburtstag feiere.","2024-09-09T22:21:47.189Z"
"spiegelt","mirrors","","2024-08-09T21:14:17.333Z"
"die Wiese","the meadow","","2023-07-27T16:31:11.895Z"
"jugendwort","youth word","","2024-07-31T07:21:01.712Z"
"die Trennung","the separation","Nach der Trennung fühlte sie sich sehr traurig.","2024-08-26T12:10:47.432Z"
"ausgerüstet","equipped","ausgerüstet.","2024-08-24T21:32:14.476Z"
"innerhalb","within","innerhalb und außerhalb sorgt.","2024-07-15T23:54:00.837Z"
"das Ufer","the Shore","Dann besuchen sie das Gebäude des Reichstags am Ufer der Spree.","2024-08-15T15:57:31.710Z"
"bergen","to recover","In der Atom-Ruine Fukushima in Japan läuft ein erster Versuch, radioaktiven Brennstoff zu bergen.","2024-09-14T13:43:42.407Z"
"kontaminieren","contaminate","Die Chemikalien können das Wasser kontaminieren.","2024-08-25T12:08:09.502Z"
"luftdicht","airtight","luftdicht (airtight)","2024-09-14T10:32:21.553Z"
"entgehen","escape","","2024-07-11T21:37:50.492Z"
"fördert","promotes","der bestimmte Gruppen\nvon Mikroorganismen fördert,","2024-06-21T19:19:10.195Z"
"ungelöster","unresolved","","2024-10-28T23:37:37.707Z"
"Anrempeln","To bump into someone","","2024-09-29T11:07:50.432Z"
"spöttisch","mocking","Auch das ist Deutsch, eine Behauptung, für die mich die meisten meiner Kollegen spöttisch belächeln, weil Alemannisch für sie eine Fremdsprache ist.","2024-09-29T16:57:25.160Z"
"grenzüberschreitende","cross-border","Als Grund für die Maßnahme führte das Innenministerium auch „aktuelle Bedrohungen durch islamistischen Terrorismus und grenzüberschreitende Kriminalität“ in Deutschland an.","2024-09-14T13:41:55.106Z"
"Irrtümlich","Erroneous, by mistake, mistakenly","Die irrtümliche Annahme führte zu Problemen","2024-09-29T11:17:54.994Z"
"fließend","fluent","Ich spreche fließend Deutsch.","2024-07-21T15:41:38.153Z"
"Teig","dough","Um diese Gerichte zuzubereiten, muss man zuerst den entsprechenden Teig einknetten.","2024-08-24T21:34:42.189Z"
"Siebtklässler","Seventh graders","Der ermöglicht es \ndem kranken Siebtklässler,","2024-07-23T14:46:59.972Z"
"Geistlicher","Clergyman","Die Legende besagte, dass er einst ein Geistlicher gewesen war, der seine Identität verbarg und in der Dunkelheit predigte, um die verlorenen Seelen zu retten.","2024-09-29T16:56:09.729Z"
"im Zeitalter","in the age","","2024-07-18T22:27:14.887Z"
"lebensfroh","full of the joys of life","Sie ist eine lebensfrohe Person, die immer ein Lächeln auf den Lippen hat.","2024-08-13T20:01:03.792Z"
"darstellen","to represent/depict/portray","In der Präsentation wurde das Thema anschaulich dargestellt.","2024-08-09T21:23:53.320Z"
"recherchieren","research","Ich muss für mein Referat über Umweltschutz recherchieren.","2024-08-09T21:15:33.093Z"
"einen Kredit aufnehmen","take out a loan","Ich möchte einen Kredit aufnehmen, um ein Haus zu kaufen.","2024-07-22T19:52:16.072Z"
"weggezogen","moved away/pulled away","Meine Familie ist weggezogen.","2024-06-22T12:51:10.397Z"
"unabdingbar","indispensable/essential","Es ist unabdingbar, dass du deine Hausaufgaben machst.","2024-07-24T20:29:06.454Z"
"angegeben","specified","Ich habe meine Adresse angegeben.","2024-08-01T19:04:25.343Z"
"aufspalten","split","Wir müssen die Aufgaben in kleinere Teile aufspalten.","2024-09-17T19:49:08.560Z"
"das Rind","Cattle","Auch aufgepasst, wer sicher sein will, Fleisch von halbwegs glücklichen Hühnern, Schweinen und Rindern zu essen.","2024-09-17T13:28:31.328Z"
"draus","out of it","Mach was draus.","2024-07-09T22:00:54.112Z"
"die Schriftart","the font","-en","2024-09-17T13:38:02.243Z"
"Geldbeutel","Wallet","","2024-09-08T22:32:29.979Z"
"benehmen","to behave/to conduct oneself","Er muss sich besser benehmen, wenn er bei den Großeltern zu Besuch ist.","2024-08-25T10:06:38.035Z"
"die Hefe","the yeast","Dazu muss er wissen, wie man Mehl, Salz, Hefe und andere Zutaten mischt.","2024-09-22T18:40:16.698Z"
"unglaublich","incredible/unbelievable","Dein Leben ist ein unglaubliches Geschenk,","2024-06-22T12:53:06.510Z"
"bezieht","refers to","Er bezieht seine Informationen aus verschiedenen Quellen.","2024-09-09T22:12:38.469Z"
"bruttoinlandsprodukt","gross domestic product","","2024-09-17T22:09:05.788Z"
"verkleinern","to reduce/make smaller","Ich möchte mein Zimmer verkleinern, um mehr Platz für Möbel zu haben.","2024-09-26T22:32:32.878Z"
"der Forumsbeitrag","the forum post","","2023-12-06T09:11:37.289Z"
"plaudern","to chat/talk casually","Wir haben gestern Abend lange im Café plaudert.","2024-08-13T20:00:24.389Z"
"die Freigabe","the release","Ich habe eine offizielle Freigabe erhalten.","2023-07-14T15:34:37.940Z"
"verschieben","To postpone, shift, move","Wir müssen das Meeting auf nächste Woche verschieben.","2024-07-07T09:31:25.334Z"
"schlussfolgerungen","Conclusions","","2024-08-09T21:17:07.004Z"
"darüber","about that","","2024-04-25T10:33:59.944Z"
"edlen","noble","Die edlen Farben sind golden und silber: Wir finden sie bei Edelsteinen und Schmuck.","2024-09-09T20:16:05.937Z"
"anheften","to pin","Ich werde die Notizen an die Wand anheften.","2024-08-09T21:19:26.968Z"
"selben","the same","","2024-04-23T14:15:18.135Z"
"Bereich","Area/field/range/sector","Im Bereich der Wissenschaften gibt es viele verschiedene Disziplinen.","2024-07-09T22:48:55.627Z"
"errichteten","erected","Doch das Büro hat sich seit den ersten eigens dafür errichteten Arbeitsräumen im 17.","2024-08-14T22:19:38.780Z"
"handelt","acts","Der Film handelt von einer Gruppe von Freunden, die ein Abenteuer erleben.","2024-04-25T10:12:30.413Z"
"knochenswert","worthy of bone","","2024-11-01T20:50:55.164Z"
"los","Come on","Wir müssen los, sonst kommen wir zu spät.","2024-10-08T23:12:54.028Z"
"bunt","colorful","Die Blumen im Garten sind bunt.","2024-09-06T23:06:44.484Z"
"eingeschlafen","fell asleep","","2024-04-25T10:40:07.441Z"
"der Weißkohl ","the white cabbage ","","2024-09-14T10:32:01.120Z"
"Ofen","oven","Ich habe den Kuchen im Ofen gebacken.","2024-09-06T22:39:47.640Z"
"der Speck","the bacon","Ich esse gerne Speck zum Frühstück.","2024-09-21T13:04:30.226Z"
"schätzen","estimate","Möglich macht das etwas, was wir\nMenschen sehr schätzen: Intelligenz.","2024-07-20T14:37:24.184Z"
"Netzteil","Power supply unit","","2024-08-01T18:54:05.702Z"
"vernünftig","reasonable / sensible","Es wäre vernünftig, mehr zu sparen.","2023-10-31T23:35:32.447Z"
"recken","stretch/extend","Nach dem Aufstehen reckte ich mich und gähnte.","2024-08-12T22:10:53.365Z"
"räudig","mangy","","2024-08-04T19:15:02.025Z"
"Markteinführung","Market launch","","2024-07-23T14:58:23.411Z"
"Empfindlichkeit","Sensitivity","In den nächsten Tagen könnten Sie noch leichte Schmerzen oder Empfindlichkeit spüren, aber das sollte schnell besser werden.","2024-07-06T20:49:09.910Z"
"Einschlag ","Impact ","","2024-08-25T12:04:52.514Z"
"Vielmehr","Rather","Vielmehr prägt die Einführung anderer Technologien in unsere Arbeitsumgebung das Smart Office der Zukunft.","2024-08-14T22:21:41.239Z"
"der Rechner","the computer","Ich benutze meinen Rechner, um im Internet zu surfen.","2024-07-25T20:23:49.693Z"
"der Etat","Budget","Der Etat für das nächste Jahr wurde bereits genehmigt.","2024-09-06T19:44:12.260Z"
"einschließlich","including","REWE Mitarbeiter: Ja, wir haben eine breite Auswahl an glutenfreien Produkten, einschließlich Brot, Pasta und Keksen.","2024-08-14T20:26:26.024Z"
"die Schramme","the scratch","","2024-08-26T12:12:40.466Z"
"die erde","the earth/world","Die Erde ist der dritte Planet von der Sonne.","2024-07-28T19:39:34.652Z"
"Regenbogen","Rainbow","Der Regenbogen besteht aus vielen Farben.","2024-09-09T20:13:38.547Z"
"An","At","Ich hänge das Bild an die Wand.","2024-09-29T11:22:40.280Z"
"schwinden","dwindle","Die Farben des Bildes schwinden mit der Zeit.","2024-09-26T22:32:11.487Z"
"der Wolf / Wölfe","the wolf","","2024-08-26T22:57:47.419Z"
"die Tastatur","the keyboard","","2024-09-17T13:36:10.811Z"
"Gärung","Fermentation","Da beginnt die Gärung und die Umwandlung in Milchsäure.","2024-09-14T10:29:37.279Z"
"Ausgezeichnet","Excellent","Die Präsentation war ausgezeichnet und hat alle beeindruckt.","2024-09-26T10:56:15.958Z"
"schummel","to cheat/trick","Er hat beim Kartenspiel geschummelt, um zu gewinnen.","2024-08-10T11:21:37.308Z"
"der Regler","the Regulator","Wenn du an diesem Regler drehst, wird die Musik lauter.","2024-09-17T13:39:31.021Z"
"klicken","click","","2024-09-17T13:37:23.529Z"
"tragbar","portable","","2024-09-17T13:37:15.899Z"
"auszuruhen","rest","Es ist wichtig, sich nach einem langen Arbeitstag auszuruhen.","2024-08-11T19:21:34.489Z"
"die Taube (n)","the pigeon","","2024-08-26T22:58:00.908Z"
"ausrichten","align","Und wir müssen unsere neue Welt an\ndiesen Bedürfnissen ausrichten.","2024-07-18T23:03:03.058Z"
"der Hahn - die Hähne","the cock","","2024-08-26T22:57:45.083Z"
"die Eidechse (n)","the lizard","","2024-08-26T22:58:02.191Z"
"Hauptschulabschluss","Secondary school diploma","Sie dauert in der Regel fünf Jahre und endet mit dem Hauptschulabschluss.","2024-09-08T22:36:56.449Z"
"Ereignisse","Events","Erinnern können wir uns an\nEreignisse, Orte und Assoziationen,","2024-07-20T14:45:26.627Z"
"die Biene (n)","the bee","Die Biene sammelt Nektar von den Blumen.","2024-08-26T22:57:50.983Z"
"unbeholfen","awkward","Der Junge war unbeholfen, als er versuchte, das Fahrrad zu fahren.","2024-09-09T22:21:21.224Z"
"verwitwet","widowed","Der verwitwete Mann zog in ein Altersheim","2024-09-10T21:19:24.224Z"
"herbeigeschafft","brought in","Mittlerweile greifen 83 Prozent der Menschen in Deutschland lieber zum regionalen Apfel als zu einem, der über weite Strecken herbeigeschafft wurde.","2024-09-05T18:03:31.765Z"
"Umsatzsteuer","Value added tax (VAT)","Der Preis für das Produkt beträgt 100 Euro, zuzüglich Umsatzsteuer.","2024-11-01T20:14:33.458Z"
"betrügen","to deceive/cheat","Er hat seine Freunde betrogen, indem er ihnen falsche Informationen gegeben hat.","2024-08-10T11:04:47.352Z"
"verscheucht","scared away","Die Vogelscheuche hat die Vögel verscheucht.","2024-06-17T21:13:54.215Z"
"die Verrufenheit","the Infamy","","2024-09-06T19:46:13.253Z"
"das Nilpferd (s)","the hippopotamus","","2024-08-26T22:57:57.215Z"
"der kautschuk","the rubber","","2024-09-06T17:51:38.524Z"
"Gefolgschaften","Followers","","2024-09-06T19:45:03.638Z"
"Darum","Therefore","– Darum!","2024-07-07T09:34:29.259Z"
"die Schildkröte (n)","the turtle","Ich habe eine Schildkröte als Haustier.","2024-08-26T22:57:45.934Z"
"das Chamäleon (s)","the chameleon","","2024-08-26T22:57:54.948Z"
"Bist du jetzt wieder auf ihrer Seite?","Are you back on their side now?","","2024-07-07T09:34:12.055Z"
"das Mitgefühl","the compassion","Ich habe Mitgefühl mit den Menschen, die in Not sind.","2024-09-09T22:20:51.013Z"
"nebenfällen","incidental cases","","2024-08-09T21:14:32.408Z"
"daraus","from it","Was folgt daraus?","2024-07-11T20:22:20.196Z"
"mächten","powers","","2024-10-08T23:15:26.618Z"
"vergleichen","to compare","","2023-12-08T00:14:43.617Z"
"das Kamel","The camel","","2024-08-26T22:57:54.067Z"
"beschmutzen","to stain/dirty/soil","Die Kinder haben den Boden mit Farbe beschmutzt.","2024-08-13T19:55:52.721Z"
"leisten","to Afford/achieve/provide","Ich muss noch viel Arbeit leisten.","2024-07-22T13:14:06.151Z"
"schwerem","heavy","schwerem Geschütz und hartgesottenen\nSelbstmordbombern.","2024-08-25T12:00:16.149Z"
"Nichtsnutz","Good-for-nothing","","2024-08-12T22:13:28.360Z"
"Das Nashorn","the hino","wäre eine Makrophage so groß\nwie ein Nashorn.","2024-08-25T12:05:45.951Z"
"deutlich","clear/distinct","Die Lehrerin hat die Regeln deutlich erklärt.","2024-09-05T18:03:06.896Z"
"die Umschulung","retraining","","2024-08-26T22:57:10.742Z"
"Immerhin","After all","Immerhin konnten sie\ndie Sprache verstehen.","2024-07-09T20:48:30.371Z"
"geerntet","harvested","In der kalten Jahreszeit konnte kein Obst und fast kein frisches Gemüse geerntet werden.","2024-09-14T10:31:09.182Z"
"Verständnis","understanding","","2024-09-06T19:49:30.777Z"
"sei wie","be like","","2024-08-25T11:58:13.647Z"
"Skorbut","Scurvy","Viele Seefahrer bekamen die Krankheit Skorbut.","2024-09-14T10:31:32.714Z"
"die Wespe (n)","the wasp","die Biene (n)","2024-08-26T22:57:50.771Z"
"hinüberspähen","peek over","Der Junge hat hinüberspähen, um zu sehen, was die Erwachsenen besprechen.","2024-08-12T22:11:09.314Z"
"umrissen","outlined","Die Grenzen des Landes sind genau umrissen.","2024-07-20T14:41:52.052Z"
"die Gesundheit","the health","Das ist ganz essenziell\nfür unsere Gesundheit.","2024-06-21T19:17:15.695Z"
"vorherrschaft","dominance","","2024-09-05T21:08:23.327Z"
"Anstatt","Instead of","Anstatt immer wieder blind\nin Sackgassen zu landen,","2024-07-20T14:48:03.256Z"
"Gesandten","Envoy","Nach der Märzrevolution im Jahr 1848 machte die Preußische Regierung ihn zum Gesandten beim Deutschen Bund, denn er konnte gut reden und war vernünftig.","2024-08-14T20:27:10.499Z"
"der Wasserkocher","the water heater","","2023-12-05T00:01:33.122Z"
"denn","because","Ich bleibe zu Hause denn ich bin krank.","2023-11-13T22:52:27.805Z"
"der DVD-Recorder","the DVD recorder","","2023-12-05T00:03:24.409Z"
"die Schrippe","the Schrippe (northern german bread roll)","Ich hätte gerne eine Schrippe mit Butter und Marmelade.","2024-10-29T00:00:15.232Z"
"der Mehrbetrag","the additional amount","","2024-10-28T19:51:46.645Z"
"versinken","to sink/submerge","Das Schiff begann zu versinken, als es ein Leck hatte.","2024-08-09T21:40:42.097Z"
"vorzustellen","to introduce","Wie jedes Jahr öffnete die Europaschule ihre Pforten, um sich allen Interessierten vorzustellen.","2024-09-18T20:58:42.045Z"
"verursacht","caused","verursacht durch\nchronische Einsamkeit,","2024-07-18T22:53:15.307Z"
"ausgebrochen","broken out","In mehreren Wohnungen seien Brände ausgebrochen.","2024-09-14T13:42:35.003Z"
"schützen","protect","ein feiner Charakter – all das kann\ndich nicht vor Einsamkeit schützen,","2024-07-18T22:29:05.850Z"
"rangeln","tussle","Die Kinder rangeln im Garten und haben viel Spaß dabei.","2024-08-13T20:02:09.653Z"
"geriebenem","grated","","2024-08-24T21:35:21.789Z"
"der Streit","the dispute","Die Geschwister hatten einen Streit über das Spielzeug.","2024-08-14T20:27:29.549Z"
"Gärmittel","Fermentation agent","","2024-09-29T11:02:31.746Z"
"Zeitraum","Period","Ausländerbehörde Beamter: Ja, Sie können das nachreichen, aber Sie müssen sich beeilen, da Sie nur einen begrenzten Zeitraum haben, um dies zu tun.","2024-08-15T16:01:38.549Z"
"der Ratschlag","the advice","Ich habe einen guten Ratschlag für dich, wie du deine Zeit besser einteilen kannst.","2024-08-10T00:42:22.284Z"
"fangen","to catch","Ich fange den Ball.","2024-07-28T19:20:17.973Z"
"umweltschonend","environmentally friendly","Wer Wert darauf legt, dass ein Produkt nicht nur weitgehend pestizidfrei ist und umweltschonend angebaut wird, muss schon genau hinsehen.","2024-09-17T13:27:04.053Z"
"Vorzüglich","Excellent","","2024-09-26T10:56:25.103Z"
"ziegel","brick","Die Mauer besteht aus roten Ziegeln.","2024-08-09T21:42:52.962Z"
"Manche davon","Some of them","Manche davon, etwa das Fliegen,","2024-07-20T14:45:54.630Z"
"angestellt","employed","Ich bin seit zwei Jahren in dieser Firma angestellt.","2024-08-09T21:40:00.667Z"
